,TEXT,X,Y,Text
0,LAYOUT,420,297,LAYOUT
1,Stahl,9,8,Stahl
2,Adapterplatte,9,0,Adapterplatte
3,ENTGRATEN,0,1,ENTGRATENWENN NICHT ANDERS DEFINIERT:
4,UND SCHARFE,0,-1,UND SCHARFEBEMASSUNGEN SIND IN MILLIMETER
5,KANTEN,0,-4,KANTENOBERFL?CHENBESCHAFFENHEIT:
6,BRECHEN,0,-6,BRECHENTOLERANZEN:
7,WENN NICHT ANDERS DEFINIERT:,0,1,ENTGRATENWENN NICHT ANDERS DEFINIERT:
8,BEMASSUNGEN SIND IN MILLIMETER,0,-1,UND SCHARFEBEMASSUNGEN SIND IN MILLIMETER
9,OBERFL?CHENBESCHAFFENHEIT:,0,-4,KANTENOBERFL?CHENBESCHAFFENHEIT:
10,TOLERANZEN:,0,-6,BRECHENTOLERANZEN:
11,LINEAR: +0.1/-0.1,1,-9,LINEAR: +0.1/-0.1
12,WINKEL:,1,-11,WINKEL:
13,0,172,108,0
14,"25,00",185,99,"25,00"
15,"39,90",192,99,"39,90"
16,"160,10",252,96,"160,10"
17,"175,00",260,96,"175,00"
18,"200,00",272,96,"200,00"
19,0,154,128,0
20,"25,00",145,141,"25,00"
21,"39,90",145,148,"39,90"
22,"160,10",142,208,"160,10"
23,"175,00",142,216,"175,00"
24,"200,00",142,228,"200,00"
25,"R10,00",276,235,"R10,00"
26,4 x,300,149,4 x
27,%%c,307,149,%%c
28,"11,00",314,149,"11,00"
29,"20,00",333,149,"20,00"
30,%%c,308,144,%%c
31,"18,00",315,144,"18,00"
32,"12,00",334,144,"12,00"
33,4 x M8 Gewinde durchgehend,0,4,4 x M8 Gewinde durchgehend
34,"20,00",47,241,"20,00"
35,A,17,31,A
36,A,412,31,A
37,B,17,75,B
38,B,412,75,B
39,C,17,125,C
40,C,412,125,C
41,D,17,175,D
42,D,412,175,D
43,E,17,225,E
44,E,412,225,E
45,F,17,269,F
46,F,412,269,F
47,8,42,9,8
48,8,42,291,8
49,7,89,9,7
50,7,89,291,7
51,6,139,9,6
52,6,139,291,6
53,5,189,9,5
54,5,189,291,5
55,4,239,9,4
56,4,239,291,4
57,3,289,9,3
58,3,289,291,3
59,2,339,9,2
60,2,339,291,2
61,1,387,9,1
62,1,387,291,1
63,GEWICHT:,285,12,GEWICHT:
64,Stahl,307,21,Stahl
65,A3,401,24,A3
66,BLATT 1 VON 1,374,12,BLATT 1 VON 1
67,MASSSTAB:1:2,330,12,MASSSTAB:1:2
68,ZEICHNUNGSNR.,330,25,ZEICHNUNGSNR.
69,BENENNUNG:,330,46,BENENNUNG:
70,?NDERUNG,383,62,?NDERUNG
71,ZEICHNUNG NICHT SKALIEREN,342,62,ZEICHNUNG NICHT SKALIEREN
72,WERKSTOFF:,285,25,WERKSTOFF:
73,DATUM,277,46,DATUM
74,SIGNATUR,260,46,SIGNATUR
75,NAME,244,46,NAME
76,OBERFL?CHENG?TE:,264,63,OBERFL?CHENG?TE:
77,QUALIT?T,230,25,QUALIT?T
78,PRODUKTION,230,29,PRODUKTION
79,GENEHMIGT,230,34,GENEHMIGT
80,GEPR?FT,230,38,GEPR?FT
81,GEZEICHNET,230,42,GEZEICHNET
82,<>,174,132,<><><><><><>
83,<>,174,132,<><><><><><>
84,<>,174,132,<><><><><><>
85,<>,174,132,<><><><><><>
86,<>,174,132,<><><><><><>
87,<>,174,132,<><><><><><>
88,<>,179,127,<><><><><><>
89,<>,179,127,<><><><><><>
90,<>,179,127,<><><><><><>
91,<>,179,127,<><><><><><>
92,<>,179,127,<><><><><><>
93,<>,179,127,<><><><><><>
94,<>,269,222,<>
95,"4 x <> {\fGDT;x} 20,00\P{\fGDT;v}%%c 18,00 {\fGDT;x} 12,00\P",257,139,"4 x <> {\fGDT;x} 20,00\P{\fGDT;v}%%c 18,00 {\fGDT;x} 12,00\P"
96,A,196,242,A
97,A,196,115,A
98,<>,71,237,<>
99,SCHNITT A-A,75,115,SCHNITT A-A
100,Layout1,0,0,Layout1Layout2Model
101,Layout2,0,0,Layout1Layout2Model
102,Model,0,0,Layout1Layout2Model
