LAYOUT;420;297
Concepts, principales and rules according to:;0;2
Dimensions according to:;0;-1
Tolerances of form, orientation, location and run-out:;0;-3
Edge finish according to:;0;-6
LAYOUT;420;297
Concepts, principales and rules according to:;0;2
Dimensions according to:;0;-1
Tolerances of form, orientation, location and run-out:;0;-3
Edge finish according to:;0;-6
Surface texture according to:;0;-9
Limits according to:;0;-12
16% rule:;0;-15
ISO 8015;0;2
ISO 14405 1-3;0;-1
ISO 1101;0;-3
ISO 13715;0;-6
ISO 1302;0;-9
ISO 286-2;0;-12
not applicable;0;-15
%%c;89;145
40.00;95;145
?0.00 0.02 ; 108;145
%%c;97;230
4.00;102;230
+;113;234
-;113;230
0.10;115;234
0.03;115;230
38.00;135;170
+;131;183
-;135;184
0.10;131;186
1.00;135;186
A;17;31
A;202;31
B;17;75
B;202;75
C;17;125
C;202;125
D;17;175
D;202;175
E;17;225
E;202;225
F;17;269
F;202;269
4;39;9
4;39;291
3;84;9
3;84;291
2;134;9
2;134;291
1;179;9
1;179;291
BEATE Laeufer;160;42
Laeufer;155;26
A4;191;24
Page 1/1;164;12
Scale: 1:1;120;12
Drawing nr.:;120;25
Designation:;120;46
Surface material/treatment:;21;47
Material: Aluminium;20;64
Surface Texture:;65;64
Harden;86;47
Quality Standard: EN 10095;20;17
Entgratet;84;57
%%c<> 0,2;90;140
%%c<>;108;225
<>;140;200
Layout1;0;0
Layout2;0;0
Model;0;0
